Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
"Last Revised on: November 17, 2023"
Line,,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
102,"    Sewerage",0.9,0.9,0.9,1.1,1.0,1.3,1.2,1.3,1.1,1.6,1.4,1.6,1.9,2.1,2.5,3.5,3.7,4.2,4.1,5.1,5.6,6.6,5.8,5.5,5.0,5.8,5.9,6.6,7.8,8.1,7.9,8.5,8.8,9.3,8.5,7.7,8.2,9.0,8.9,8.8,9.2,9.1,9.8,11.2,12.2,13.2,13.9,15.6,17.4,19.3,20.5,21.0,20.6,18.9,18.0,17.7,18.5,19.3,20.2,21.4,21.0,21.9,23.9,26.7
103,"    Sanitation",0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.0,2.1,2.4,2.5,2.9,3.1,3.2,3.2,3.4,3.8,4.1,4.4,5.2,6.0,6.5,6.8,7.0,7.1,7.6,7.4,7.7,7.9,7.9,8.4,9.2,9.8,10.0,10.3,10.6,11.4,11.1,10.9,11.3,11.1,10.5,10.5,10.4,10.2,9.9,10.1,10.1,10.4,11.6,12.6,12.8,14.3,16.3
104,"    Housing and other",0.5,0.5,0.7,0.9,0.5,0.6,0.6,0.7,0.9,0.9,1.1,1.2,1.3,1.0,1.0,1.0,1.2,1.1,1.3,1.3,1.7,2.1,2.5,2.4,2.7,2.6,2.9,3.0,3.1,3.2,3.3,3.7,3.9,4.3,4.0,3.7,4.4,4.6,5.0,5.0,5.1,5.1,5.5,6.2,6.7,6.9,7.1,7.1,7.6,7.7,7.5,7.8,7.3,6.1,5.3,5.6,5.7,6.0,6.5,7.4,8.2,7.8,7.2,7.1
105,Health (net),3.0,3.2,3.5,3.5,3.8,4.0,4.3,4.6,5.0,5.7,6.5,7.5,8.6,9.0,9.7,11.4,12.6,12.8,14.1,15.3,16.3,18.5,19.6,20.4,20.0,21.3,23.1,24.0,26.0,28.4,31.0,34.3,35.3,35.6,34.4,34.5,34.1,33.9,32.9,34.0,39.6,41.1,40.9,47.1,49.5,53.5,61.9,64.5,75.1,83.0,80.0,78.9,78.6,78.2,81.4,80.3,81.3,88.8,91.5,99.7,112.6,134.9,153.9,182.6
106,"    Gross expenditures",4.0,4.2,4.5,4.8,5.1,5.6,6.1,6.7,7.6,8.9,10.1,11.4,13.4,14.7,16.4,19.0,21.2,22.8,25.1,28.2,31.6,36.0,40.8,45.1,47.9,50.8,55.3,58.9,63.2,68.9,76.2,84.6,92.5,101.1,107.8,113.5,119.2,120.7,122.9,127.6,136.4,145.3,157.2,167.9,174.5,184.6,194.4,205.6,224.6,241.7,249.0,255.3,261.2,266.9,279.3,289.6,301.8,318.9,333.5,355.3,381.2,405.5,445.6,495.9
107,"    Less: Sales to other sectors",1.0,1.0,1.1,1.3,1.4,1.5,1.8,2.1,2.6,3.2,3.6,3.9,4.8,5.7,6.7,7.6,8.6,10.0,11.1,12.9,15.4,17.5,21.2,24.7,28.0,29.5,32.2,34.9,37.2,40.5,45.2,50.2,57.2,65.5,73.3,79.0,85.2,86.7,90.0,93.6,96.9,104.1,116.3,120.9,125.0,131.1,132.5,141.2,149.4,158.6,168.9,176.4,182.7,188.7,197.9,209.3,220.4,230.1,242.0,255.5,268.6,270.6,291.7,313.4
108,Recreation and culture,0.8,0.8,0.9,1.0,1.0,1.1,1.2,1.3,1.4,1.7,1.9,2.1,2.4,2.5,2.8,3.3,4.0,4.1,4.2,4.8,5.3,5.8,6.2,6.7,7.2,7.7,8.7,9.4,10.0,10.7,12.0,13.4,14.1,14.7,14.9,15.7,16.9,18.1,19.3,20.4,22.0,24.4,26.8,28.3,28.3,29.3,31.2,33.8,36.7,38.7,38.5,37.1,35.9,35.3,36.2,37.7,39.8,42.5,44.0,46.6,50.3,50.4,49.8,52.8
109,Education,17.0,18.8,20.6,21.9,24.1,26.6,29.7,34.1,38.1,42.1,46.8,52.7,58.9,64.6,70.7,79.0,89.7,96.2,102.3,110.0,120.9,131.7,142.4,152.6,161.3,175.2,191.2,207.8,222.8,241.2,265.1,288.8,307.5,324.8,338.3,356.7,381.5,401.5,425.6,453.4,486.3,526.2,564.3,582.5,604.3,636.0,668.8,710.8,762.2,801.7,812.9,819.1,818.2,821.4,852.6,876.6,905.2,933.3,962.8,1003.2,1041.9,1068.5,1105.6,1179.1
110,"    Elementary and secondary",14.2,15.8,17.2,18.2,19.8,21.8,24.2,27.3,30.0,33.0,36.4,40.4,45.2,49.3,53.5,59.6,68.0,73.0,77.8,83.8,92.5,100.3,107.5,115.0,122.5,133.6,145.3,158.8,171.4,185.6,203.4,222.3,237.8,252.2,260.9,274.1,294.8,311.8,331.2,353.2,379.5,409.2,436.2,456.1,477.9,501.3,527.6,560.5,594.0,620.0,624.8,623.9,616.8,615.8,637.4,655.9,679.3,703.6,729.5,761.1,789.5,806.0,836.8,896.3
111,"    Higher",2.2,2.4,2.8,3.0,3.5,3.9,4.4,5.4,6.4,7.2,8.3,9.7,10.8,12.1,13.8,15.5,17.0,18.3,19.4,20.8,22.7,25.2,28.3,30.7,31.8,34.0,37.6,40.2,41.8,45.3,50.2,54.3,57.1,59.5,63.7,68.1,71.3,73.3,77.4,82.3,87.6,95.9,105.4,102.9,102.1,109.5,114.6,123.2,140.1,152.8,158.7,165.2,171.6,175.9,185.4,190.6,196.2,200.5,204.1,211.1,219.0,226.1,229.6,241.3
112,"    Libraries and other",0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.4,1.7,1.9,2.2,2.6,2.9,3.2,3.4,4.0,4.7,4.9,5.1,5.4,5.8,6.2,6.6,6.9,7.0,7.6,8.3,8.8,9.6,10.4,11.5,12.3,12.6,13.1,13.7,14.5,15.4,16.3,17.0,17.9,19.2,21.1,22.7,23.5,24.3,25.3,26.5,27.0,28.1,28.9,29.5,29.9,29.9,29.6,29.8,30.2,29.6,29.2,29.2,31.0,33.4,36.4,39.3,41.5
113,"        Libraries",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.3,1.3,1.4,1.5,1.7,1.8,2.0,2.2,2.4,2.6,2.9,3.2,3.4,3.8,4.1,4.5,4.9,5.1,5.2,5.5,5.8,6.3,6.7,7.0,7.4,7.9,8.6,9.2,9.5,10.1,10.8,11.3,12.1,12.2,12.1,11.9,12.1,12.0,12.2,12.4,12.9,13.2,13.4,13.8,14.2,15.8,16.1,15.7
114,"        Other",0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1.1,1.2,1.5,1.8,2.1,2.3,2.4,2.9,3.4,3.6,3.7,3.9,4.1,4.4,4.6,4.6,4.7,5.0,5.4,5.6,6.1,6.6,7.4,7.8,7.8,8.1,8.5,9.0,9.6,10.0,10.3,10.9,11.8,13.1,14.1,14.4,14.8,15.1,15.7,15.8,16.0,16.7,17.4,18.0,17.7,17.6,17.7,17.7,16.8,16.0,15.8,17.2,19.2,20.6,23.2,25.8
115,Income security,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.5,1.8,2.1,2.5,3.1,3.7,4.4,5.1,5.9,6.7,7.5,8.4,9.3,10.2,11.1,12.2,13.0,15.0,16.2,17.7,18.9,20.1,21.8,24.4,27.4,30.1,32.8,35.0,38.2,40.2,41.4,44.2,47.9,51.9,56.3,62.1,67.4,68.1,67.9,69.2,70.2,72.4,74.8,75.9,74.3,72.7,72.7,76.4,79.0,81.4,83.9,85.6,92.4,103.5,110.6,119.8,132.1
116,"    Disability",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2.0,2.3,2.4,2.6,2.8,2.8,2.7,3.0,4.1,4.8,4.7,4.8,4.6,4.3,4.3,4.2,3.9,3.8,4.0,4.0,3.7,3.8,3.8,3.7,4.1,4.5,4.4,4.3,4.5
117,"    Welfare and social services",0.6,0.7,0.7,0.8,0.9,1.0,1.2,1.4,1.7,2.0,2.4,3.0,3.6,4.2,5.0,5.7,6.5,7.3,8.2,9.0,9.9,10.8,11.9,12.6,14.5,15.7,17.2,18.3,19.4,21.1,23.4,26.3,28.7,31.3,33.2,36.2,37.9,39.0,41.6,45.0,49.2,53.6,59.2,63.3,63.3,63.2,64.3,65.6,68.2,70.5,71.7,70.3,68.9,68.7,72.4,75.3,77.6,80.0,81.9,88.3,99.0,106.2,115.4,127.6

Legend/Footnotes
"1. Consists of consumption expenditures to administer social insurance funds, including old age and survivors insurance (social security) and railroad retirement. Excludes government employee retirement plans."
2. Consists of consumption expenditures to administer federal revenue sharing grants to state and local governments beginning with 1972 and ending with 1987.
3. Consists primarily of unallocable state and local government consumption expenditures and gross investment.
